epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_rmse, e/N_rmse
    1,   377,         0.030585,          0.03048,       0.00010448,           1.8768,            2.728,           3.5138,          0.15972
    1,   378,         0.046727,         0.046609,        0.0001179,           2.1976,           3.3735,           3.7327,          0.16967
    1,   379,         0.049648,         0.049511,       0.00013752,           2.1493,           3.4769,           4.0313,          0.18324
    1,   380,         0.030207,         0.030191,       1.5527e-05,           1.8009,           2.7151,           1.3545,          0.06157
    1,   381,         0.048988,         0.048943,       4.5445e-05,           2.3334,           3.4569,           2.3174,          0.10534
    1,   382,         0.039808,         0.039756,       5.2093e-05,           2.1897,           3.1156,           2.4811,          0.11278
    1,   383,         0.042564,         0.042394,       0.00016969,           2.1259,           3.2174,           4.4781,          0.20355
    1,   384,         0.024351,         0.024214,       0.00013745,           1.7512,           2.4315,           4.0302,          0.18319
    1,   385,         0.028622,         0.028522,       9.9667e-05,           1.7833,            2.639,            3.432,            0.156
    1,   386,         0.053279,         0.053174,       0.00010522,           2.3534,           3.6032,           3.5264,          0.16029
    1,   387,         0.046713,         0.046581,       0.00013193,           2.2513,           3.3725,           3.9485,          0.17948
    1,   388,         0.027462,         0.027303,       0.00015872,             1.79,            2.582,           4.3309,          0.19686
    1,   389,         0.031986,         0.031808,       0.00017835,           1.8832,           2.7868,            4.591,          0.20868
    1,   390,         0.066583,         0.066483,       0.00010007,           2.4897,            4.029,           3.4389,          0.15631
    1,   391,         0.081985,         0.081881,       0.00010397,           2.3447,           4.4713,           3.5053,          0.15933
    1,   392,         0.028371,         0.028302,       6.9552e-05,           1.9099,           2.6288,           2.8669,          0.13031
    1,   393,         0.033665,          0.03362,       4.5165e-05,           1.9609,           2.8651,           2.3103,          0.10502
    1,   394,         0.043785,         0.043676,       0.00010892,           2.1625,           3.2656,           3.5878,          0.16308
    1,   395,         0.029731,         0.029714,       1.6572e-05,           1.9253,           2.6936,           1.3995,         0.063612
    1,   396,         0.045902,         0.045879,       2.2772e-05,           2.1966,            3.347,           1.6405,         0.074568
    1,   397,         0.039061,         0.038966,       9.5303e-05,           2.0938,           3.0845,            3.356,          0.15255
    1,   398,         0.032004,         0.031952,       5.1467e-05,           1.8575,           2.7932,           2.4663,           0.1121
    1,   399,          0.05178,         0.051765,       1.4875e-05,           2.1054,           3.5552,           1.3259,         0.060267
    1,   400,         0.035223,         0.035084,        0.0001396,           1.9072,           2.9268,           4.0617,          0.18462
    1,   401,         0.031286,         0.031108,       0.00017824,           1.8549,            2.756,           4.5895,          0.20861
    1,   402,         0.059821,         0.059689,       0.00013206,           2.3004,           3.8176,           3.9505,          0.17957
    1,   403,         0.035293,         0.035244,       4.8885e-05,           1.8735,           2.9335,           2.4035,          0.10925
    1,   404,         0.026793,         0.026746,       4.7082e-05,           1.7883,           2.5555,           2.3589,          0.10722
    1,   405,           0.0495,         0.049495,        5.037e-06,           2.2926,           3.4764,          0.77145,         0.035066
    1,   406,          0.03892,         0.038904,       1.5925e-05,           2.1246,           3.0821,           1.3719,         0.062359
    1,   407,         0.038451,         0.038435,       1.5572e-05,           2.0748,           3.0634,           1.3566,         0.061662
    1,   408,         0.059298,          0.05927,       2.8866e-05,            2.333,           3.8042,            1.847,         0.083955
    1,   409,         0.036181,         0.036122,       5.8643e-05,           2.0585,           2.9698,           2.6326,          0.11966
    1,   410,         0.030951,         0.030856,       9.4964e-05,           1.9012,           2.7448,             3.35,          0.15227
    1,   411,         0.040975,         0.040846,       0.00012949,           1.9572,           3.1581,           3.9119,          0.17782
    1,   412,         0.022723,         0.022443,       0.00027985,           1.6326,           2.3409,           5.7507,           0.2614
    1,   413,         0.063482,         0.063424,       5.8949e-05,           2.4769,           3.9352,           2.6394,          0.11997
    1,   414,         0.031388,          0.03135,       3.7881e-05,           1.9341,           2.7667,           2.1158,         0.096172
    1,   415,         0.038779,         0.038653,       0.00012646,           2.0739,           3.0721,           3.8659,          0.17572
    1,   416,         0.045992,         0.045892,       9.9897e-05,           2.1926,           3.3474,           3.4359,          0.15618
    1,   417,         0.025817,         0.025807,       9.4549e-06,           1.6911,           2.5102,            1.057,         0.048048
    1,   418,         0.030468,         0.030433,       3.4922e-05,           1.9271,           2.7259,           2.0316,         0.092344
    1,   419,         0.027374,         0.027357,       1.6562e-05,           1.8992,           2.5845,            1.399,         0.063591
    1,   420,         0.041801,          0.04172,       8.0429e-05,           2.1946,           3.1917,            3.083,          0.14014
    1,   421,         0.046823,         0.046761,       6.1662e-05,           2.1147,            3.379,           2.6995,           0.1227
    1,   422,         0.043159,         0.043046,       0.00011279,           2.1552,            3.242,           3.6509,          0.16595
    1,   423,         0.044147,         0.044113,       3.3509e-05,            2.066,           3.2819,             1.99,         0.090457
    1,   424,         0.042423,         0.042413,       9.1855e-06,           1.9816,           3.2181,           1.0419,         0.047357
    1,   425,         0.043527,         0.043521,       5.5002e-06,           2.2217,           3.2598,          0.80623,         0.036647
    1,   426,         0.035136,         0.035105,       3.0912e-05,           1.8773,           2.9277,           1.9114,         0.086881
    1,   427,         0.050658,         0.050611,       4.6325e-05,           2.3879,           3.5153,           2.3398,          0.10636
    1,   428,         0.031332,         0.031296,       3.6216e-05,           1.9365,           2.7643,           2.0688,         0.094037
    1,   429,         0.044808,         0.044697,       0.00011129,            2.134,           3.3036,           3.6266,          0.16484
    1,   430,         0.031591,         0.031528,       6.3171e-05,           1.8583,           2.7745,           2.7323,          0.12419
    1,   431,          0.03034,         0.030207,       0.00013297,           1.9631,           2.7158,           3.9641,          0.18019
    1,   432,         0.033515,         0.033484,        3.098e-05,           1.8865,           2.8593,           1.9133,          0.08697
    1,   433,         0.043055,         0.042999,       5.6635e-05,           2.0164,           3.2402,           2.5871,           0.1176
    1,   434,         0.052381,         0.052375,        6.065e-06,           2.1893,           3.5761,          0.84652,         0.038478
    1,   435,          0.03429,         0.034248,       4.2174e-05,           2.0426,           2.8917,           2.2324,          0.10147
    1,   436,         0.040839,         0.040761,       7.7126e-05,           2.0877,           3.1548,           3.0191,          0.13723
    1,   437,         0.027124,         0.027118,       5.7181e-06,           1.8177,           2.5732,          0.82205,         0.037366
    1,   438,         0.033401,         0.033398,       3.0587e-06,            1.907,           2.8556,          0.60121,         0.027328
    1,   439,          0.04479,         0.044672,       0.00011712,           2.2568,           3.3027,           3.7203,          0.16911
    1,   440,         0.032461,         0.032372,         8.92e-05,           1.8793,           2.8114,           3.2468,          0.14758
    1,   441,         0.034965,         0.034895,       7.0159e-05,           2.0319,           2.9189,           2.8794,          0.13088
    1,   442,         0.032285,         0.032237,       4.7936e-05,           1.9636,           2.8056,             2.38,          0.10818
    1,   443,         0.045799,         0.045788,       1.1029e-05,            2.303,           3.3436,           1.1417,         0.051897
    1,   444,         0.031917,         0.031783,       0.00013374,           1.9269,           2.7857,           3.9756,          0.18071
    1,   445,         0.033153,         0.033099,       5.4206e-05,            1.966,           2.8428,            2.531,          0.11505
    1,   446,         0.049448,         0.049378,       6.9586e-05,           2.2339,           3.4723,           2.8678,          0.13035
    1,   447,         0.040705,         0.040553,       0.00015197,           2.1648,           3.1467,           4.2379,          0.19263
    1,   448,          0.03805,         0.037914,       0.00013595,           2.0404,           3.0426,           4.0083,           0.1822
    1,   449,         0.029598,         0.029544,       5.3498e-05,           1.9423,           2.6858,           2.5145,          0.11429
    1,   450,         0.039909,         0.039902,       6.3785e-06,           2.1695,           3.1214,          0.86816,         0.039462
    1,   451,         0.026992,         0.026963,       2.9336e-05,           1.8588,           2.5658,           1.8619,         0.084634
    1,   452,         0.031002,         0.030978,       2.3889e-05,           1.9531,           2.7502,           1.6802,         0.076374
    1,   453,         0.034288,         0.034264,       2.4317e-05,           2.0615,           2.8924,           1.6952,         0.077053
    1,   454,         0.038058,         0.038007,        5.097e-05,           2.1245,           3.0463,           2.4542,          0.11156
    1,   455,          0.02751,         0.027476,       3.4731e-05,           1.7922,           2.5901,            2.026,          0.09209
    1,   456,         0.032719,         0.032688,       3.1116e-05,           1.9533,           2.8251,           1.9176,         0.087164
    1,   457,         0.048562,         0.048393,       0.00016952,           2.4307,           3.4374,           4.4759,          0.20345
    1,   458,         0.047423,          0.04733,       9.2305e-05,           2.2253,           3.3995,           3.3029,          0.15013
    1,   459,         0.042127,         0.041981,       0.00014537,           2.2527,           3.2016,           4.1449,          0.18841
    1,   460,         0.054321,         0.054289,       3.2107e-05,           2.3767,           3.6408,           1.9479,          0.08854
    1,   461,         0.036862,          0.03685,       1.2547e-05,           2.0954,           2.9996,           1.2177,         0.055349
    1,   462,         0.029588,         0.029531,       5.6675e-05,           1.8972,           2.6853,           2.5879,          0.11763
    1,   463,         0.038901,         0.038861,        4.009e-05,           2.1121,           3.0804,           2.1767,         0.098939
    1,   464,         0.037545,         0.037486,        5.883e-05,           2.0919,           3.0254,           2.6368,          0.11985
    1,   465,         0.024995,         0.024962,       3.2859e-05,           1.8225,           2.4688,           1.9706,         0.089574
    1,   466,         0.046035,         0.046006,       2.8782e-05,           2.1819,           3.3516,           1.8443,         0.083832
    1,   467,         0.021223,         0.021129,       9.3285e-05,           1.6624,           2.2714,           3.3203,          0.15092
    1,   468,         0.053022,         0.052855,        0.0001675,           2.4553,           3.5924,           4.4491,          0.20223
    1,   469,          0.03223,         0.032198,       3.2336e-05,           1.9157,           2.8039,           1.9549,          0.08886
    1,   470,         0.026181,         0.026158,       2.3521e-05,           1.8279,           2.5272,           1.6673,         0.075784
    1,   471,         0.040317,         0.040291,       2.5554e-05,           2.2231,           3.1365,           1.7379,         0.078995
    1,   472,         0.029098,         0.029058,       4.0669e-05,           1.8439,           2.6636,           2.1923,         0.099648
    1,   473,         0.030388,         0.030246,        0.0001417,           2.0105,           2.7176,           4.0922,          0.18601
    1,   474,         0.030288,         0.030222,       6.5896e-05,           1.8212,           2.7165,           2.7906,          0.12685
    1,   475,         0.044772,         0.044726,       4.6028e-05,           2.1801,           3.3046,           2.3323,          0.10601
    1,   476,         0.035262,         0.035027,       0.00023432,           2.0569,           2.9245,           5.2623,          0.23919
    1,   477,         0.044985,         0.044609,       0.00037594,           2.3289,           3.3003,           6.6653,          0.30297
    1,   478,         0.041397,         0.041169,       0.00022802,           2.0638,           3.1705,            5.191,          0.23595
    1,   479,         0.028108,         0.028064,       4.3986e-05,           1.8584,           2.6177,           2.2799,          0.10363
    1,   480,         0.031413,         0.031279,       0.00013414,           2.0567,           2.7636,           3.9816,          0.18098
    1,   481,         0.054854,         0.054773,       8.1206e-05,           2.5301,            3.657,            3.098,          0.14082
    1,   482,         0.037636,         0.037617,       1.8367e-05,           2.0518,           3.0307,           1.4733,          0.06697
    1,   483,         0.033784,         0.033647,       0.00013705,           1.9152,           2.8663,           4.0244,          0.18293
    1,   484,         0.054387,         0.054138,       0.00024971,           2.5019,           3.6357,           5.4323,          0.24692
    1,   485,         0.034462,         0.034285,       0.00017671,            2.075,           2.8933,           4.5698,          0.20772
    1,   486,         0.029944,         0.029936,       7.6042e-06,           1.7832,           2.7036,          0.94801,         0.043091
    1,   487,         0.046328,         0.046166,       0.00016239,           2.2533,           3.3574,           4.3807,          0.19912
    1,   488,         0.057611,         0.057379,       0.00023132,           2.5788,            3.743,           5.2286,          0.23766
    1,   489,          0.04621,         0.046085,       0.00012463,           2.3255,           3.3545,           3.8377,          0.17444
    1,   490,         0.027438,         0.027405,       3.3167e-05,           1.7816,           2.5868,           1.9798,         0.089993
    1,   491,         0.032599,         0.032546,       5.2921e-05,           2.0092,            2.819,           2.5009,          0.11368
    1,   492,         0.032341,         0.032255,       8.6462e-05,            1.996,           2.8063,           3.1966,           0.1453
    1,   493,         0.038473,         0.038403,       7.0645e-05,           2.1154,           3.0621,           2.8894,          0.13134
    1,   494,         0.030981,         0.030925,       5.6024e-05,           1.9835,           2.7479,           2.5731,          0.11696
    1,   495,          0.03369,         0.033673,       1.6917e-05,           1.8835,           2.8674,            1.414,         0.064274
    1,   496,         0.035634,          0.03557,       6.4556e-05,           2.0227,            2.947,            2.762,          0.12555
    1,   497,         0.045082,         0.045028,       5.3956e-05,           2.3015,           3.3158,           2.5252,          0.11478
    1,   498,         0.033532,         0.033437,       9.5323e-05,           1.9489,           2.8573,           3.3563,          0.15256
    1,   499,         0.024595,         0.024549,       4.6137e-05,           1.7233,           2.4483,            2.335,          0.10614
    1,   500,         0.041291,         0.041172,       0.00011853,           2.1805,           3.1706,           3.7427,          0.17012
    1,   501,         0.044599,         0.044465,       0.00013373,           2.3606,            3.295,           3.9755,           0.1807
    1,   502,         0.022826,         0.022819,       6.9192e-06,           1.6569,           2.3604,           0.9043,         0.041104
    1,   503,         0.037546,         0.037489,       5.7263e-05,           1.8636,           3.0255,           2.6013,          0.11824
    1,   504,         0.024293,         0.024098,       0.00019512,           1.7148,           2.4257,            4.802,          0.21827
    1,   505,          0.03532,         0.035313,       7.2034e-06,           1.9574,           2.9364,          0.92265,         0.041939
    1,   506,         0.050071,         0.050036,       3.4405e-05,           2.0999,           3.4953,           2.0164,         0.091655
    1,   507,         0.025285,         0.025245,       3.9999e-05,           1.6577,           2.4827,           2.1741,         0.098825
    1,   508,         0.029643,         0.029535,       0.00010865,           1.9157,           2.6854,           3.5834,          0.16288
    1,   509,         0.039747,         0.039517,       0.00022986,           2.0844,           3.1062,           5.2119,          0.23691
