epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_rmse, e/N_rmse
    4,   122,         0.068182,         0.068019,       0.00016312,           1.8055,           2.6529,           2.8609,          0.13004
    4,   123,         0.053103,         0.053092,       1.1455e-05,           1.5791,           2.3438,          0.76022,         0.034555
    4,   124,          0.05853,         0.058434,        9.565e-05,           1.7171,           2.4589,           2.1908,         0.099582
    4,   125,         0.059865,         0.059507,       0.00035798,           1.7643,           2.4814,            4.231,          0.19232
    4,   126,         0.065825,         0.065455,       0.00037006,           1.8236,           2.6025,           4.3057,          0.19571
    4,   127,         0.054853,         0.054706,       0.00014617,           1.6205,           2.3792,           2.7056,          0.12298
    4,   128,         0.062799,          0.06202,       0.00077898,            1.673,           2.5332,           6.2587,          0.28449
    4,   129,         0.066166,         0.065942,       0.00022324,           1.8268,           2.6121,           3.3337,          0.15153
    4,   130,          0.05819,         0.057673,       0.00051737,            1.724,           2.4429,           5.0875,          0.23125
    4,   131,           0.0512,         0.050995,       0.00020496,           1.6418,           2.2971,           3.2087,          0.14585
    4,   132,         0.079081,         0.079028,       5.2594e-05,           1.9028,           2.8596,           1.6264,         0.073926
    4,   133,         0.051245,         0.051144,       0.00010053,           1.6695,           2.3004,           2.2452,          0.10205
    4,   134,         0.063706,         0.063592,       0.00011448,           1.8117,           2.5651,           2.3973,          0.10897
    4,   135,         0.074214,         0.074098,       0.00011561,           1.9583,           2.7689,           2.4083,          0.10947
    4,   136,         0.047491,         0.047375,       0.00011621,           1.5923,            2.214,           2.4127,          0.10967
    4,   137,         0.056857,          0.05676,       9.6614e-05,           1.6648,           2.4234,           2.2034,          0.10015
    4,   138,         0.055307,         0.055242,       6.5711e-05,           1.6405,           2.3908,           1.8124,         0.082384
    4,   139,         0.054577,         0.054432,       0.00014447,           1.6172,           2.3732,            2.683,          0.12195
    4,   140,         0.049638,         0.049519,       0.00011905,           1.5735,           2.2636,           2.4357,          0.11071
    4,   141,         0.041176,         0.041074,       0.00010221,           1.4569,           2.0616,           2.2537,          0.10244
    4,   142,         0.050785,          0.05037,       0.00041495,           1.5554,           2.2829,            4.558,          0.20718
    4,   143,         0.039054,         0.038785,       0.00026974,           1.4644,           2.0033,            3.677,          0.16714
    4,   144,         0.054522,         0.054345,       0.00017739,           1.6491,           2.3713,           2.9748,          0.13522
    4,   145,         0.065797,         0.065675,       0.00012229,            1.815,           2.6068,           2.4748,          0.11249
    4,   146,         0.057669,         0.057599,       7.0216e-05,            1.673,           2.4413,           1.8761,         0.085277
    4,   147,         0.045066,          0.04499,       7.6018e-05,           1.5493,           2.1576,           1.9475,         0.088521
    4,   148,         0.047545,         0.047453,       9.1431e-05,           1.5878,           2.2159,           2.1406,         0.097301
    4,   149,         0.052228,         0.051949,       0.00027949,           1.5822,           2.3185,           3.7367,          0.16985
    4,   150,         0.069605,         0.069155,       0.00044997,           1.8675,            2.675,           4.7351,          0.21523
    4,   151,         0.063521,         0.063139,       0.00038154,           1.7695,            2.556,           4.3727,          0.19876
    4,   152,         0.054474,         0.054362,       0.00011239,            1.644,           2.3717,           2.3721,          0.10782
    4,   153,         0.067728,         0.067643,       8.5566e-05,           1.8681,           2.6456,           2.0754,         0.094338
    4,   154,         0.057286,         0.057207,       7.8827e-05,           1.7063,            2.433,           1.9882,         0.090375
    4,   155,         0.044431,         0.043907,       0.00052351,           1.5614,           2.1315,           5.1242,          0.23292
    4,   156,          0.07184,         0.071696,       0.00014452,           1.8777,           2.7237,             2.69,          0.12227
    4,   157,         0.084236,          0.08405,       0.00018597,           1.9559,            2.949,            3.057,          0.13896
    4,   158,         0.056809,         0.056746,       6.2339e-05,             1.63,           2.4231,           1.7595,         0.079976
    4,   159,         0.096562,         0.096209,        0.0003534,           1.9837,           3.1551,           4.2021,            0.191
    4,   160,         0.048234,         0.048163,       7.0638e-05,           1.6506,           2.2324,           1.8876,         0.085798
    4,   161,         0.042223,         0.041655,       0.00056787,            1.466,           2.0761,           5.3352,          0.24251
    4,   162,         0.063476,         0.063382,       9.3775e-05,           1.7331,           2.5609,           2.1751,         0.098868
    4,   163,         0.067918,         0.067771,       0.00014738,           1.8005,           2.6481,           2.7168,          0.12349
    4,   164,         0.062045,         0.061818,       0.00022707,           1.8183,           2.5291,           3.3671,          0.15305
    4,   165,          0.05085,         0.050653,       0.00019649,           1.6537,           2.2894,            3.142,          0.14282
    4,   166,         0.053087,         0.052592,       0.00049498,           1.6462,           2.3328,           4.9787,           0.2263
    4,   167,         0.057346,         0.057331,       1.5478e-05,           1.6565,           2.4356,          0.88056,         0.040026
    4,   168,         0.061163,         0.061122,       4.1133e-05,           1.6846,           2.5148,           1.4325,         0.065115
    4,   169,         0.084466,         0.084329,       0.00013754,           1.9436,           2.9539,           2.6246,           0.1193
    4,   170,         0.064702,         0.064517,       0.00018579,           1.7777,           2.5837,           3.0421,          0.13828
    4,   171,         0.050074,         0.049748,       0.00032655,           1.5673,           2.2688,           4.0477,          0.18399
    4,   172,         0.055999,         0.055786,       0.00021315,           1.6397,           2.4026,            3.266,          0.14845
    4,   173,         0.054853,         0.054577,        0.0002759,           1.7462,           2.3764,           3.7259,          0.16936
    4,   174,         0.045988,         0.045813,       0.00017545,           1.5144,           2.1772,           2.9654,          0.13479
    4,   175,         0.042111,            0.042,       0.00011118,           1.4834,           2.0847,           2.3568,          0.10713
